RECORDVICTORY,,Record Victory,,,,,,,,,,,,,,,,,,,,,,,
RECORDDEFEAT,,Record Defeat,,,,,,,,,,,,,,,,,,,,,,,
RECORDATTENDANCE,,Record Attendance,,,,,,,,,,,,,,,,,,,,,,,
LOWESTATTENDANCE,,Lowest Attendance,,,,,,,,,,,,,,,,,,,,,,,
RECORDPOINTS,,Most League Points,,,,,,,,,,,,,,,,,,,,,,,
LEASTPOINTS,,Least League Points,,,,,,,,,,,,,,,,,,,,,,,
RECORDPOSITION,,Highest League Position,,,,,,,,,,,,,,,,,,,,,,,
LOWESTPOSITION,,Lowest League Position,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Transfer window info,,,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWCLOSELOOMING,Messages regarding the transfer window,"The transfer window will close shortly, clubs may not buy or loan any players until it reopens.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWCLOSELOANLOOMING,,"The loan transfer window will close shortly, clubs will be unable to sign players on loan until it reopens.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWCLOSED,,"The transfer window has closed, the club may not buy or loan any players until it reopens.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERDEADLINELOANCLOSED,,"The loan transfer window has closed, the club is unable to sign players on loan until it reopens.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWOPENSOON,,"The transfer window will reopen in 7 days, clubs will be able to buy or loan players.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWLOANOPENSOON,,"The loan transfer window will open in 7 days, clubs will be allowed to sign players on loan.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWOPEN,,"The transfer window has opened, clubs may now buy or loan players.",,,,,,,,,,,,,,,,,,,,,,,
TRANSFERWINDOWLOANOPEN,,"The loan transfer window has opened, clubs may sign players on loan.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Commentary lines,,,,,,,,,,,,,,,,,,,,,,,,
AWAYGOALSWINNER,These lines are all used for the commentary throughout,%s won on away goals.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY1,"Originally: Penalty, goal, %s (%s).", %s (%s) shot was on target!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY10,,Red card for %s (%s). The ref's sent him off for a late tackle.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY11,,Red card for %s (%s). He's been sent off for tackling dangerously.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY12,,Red card for %s (%s). He had to walk after such a reckless challenge.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY13,,Red card for %s (%s). He's been sent off for his comment to the referee after a nasty tackle!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY14,,Red card for %s (%s). The ref had no option but to send him off after that challenge.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY15,,Red card for %s (%s). The ref's sent him off for going in late again.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY16,,"GOAL to %s, %s has put it into his own net!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY17,,"GOAL to %s, %s turned it into his own net!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY18,,"GOAL to %s, %s put it past his own keeper!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY19,,"GOAL to %s, %s tried to give it to the keeper but put it into the roof of his own net!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY2,"Originally: Penalty saved, %s (%s).", %s (%s) shot was saved!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY20,,"GOAL to %s, %s beat his own keeper with a terrible backpass.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY21,,"GOAL to %s, %s turned it into his own net!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY22,,GOAL to %s. A fantastic goal by %s!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY23,,GOAL! %s's %s scores with a stunning finish.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY24,,GOAL to %s. That was a text book finish by %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY25,,GOAL to %s. Great finish by %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY26,,GOAL to %s. %s takes advantage of a defensive error with maximum effect.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY27,,GOAL to %s. A fantastic goal by %s!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY28,,%s (%s) scores from a corner.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY29,,GOAL to %s! A fantastic free-kick by %s!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY3,"Originally: Penalty off target, %s (%s).",%s (%s) missed his penalty shot.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY30,,GOAL to %s. %s scores with an excellent free-kick.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY31,,GOAL to %s. A great curling free-kick by %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY32,,GOAL to %s. A brilliant free-kick by %s left the keeper with no chance!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY33,,GOAL to %s. An excellent long range free-kick by %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY34,,GOAL to %s! That was a brilliant free-kick by %s!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY35,,A fantastic finish by %s (%s) but the goal won't stand. The linesman has spotted an infringement.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY36,,"Great GOAL by %s (%s), but the referee has disallowed it.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY37,,GOAL! A great finish by %s (%s) but it won't count - there must have been an infringement.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY38,,"GOAL to %s (%s)! No, it won't stand. Amazingly, it's been disallowed for some reason!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY39,,"GOAL to %s (%s), but it won't count. There was an infringement off the ball!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY4,,%s (%s) has been shown the yellow card for going in with his foot raised.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY40,,"GOAL to %s (%s), but it won't count. It looked offside and has been disallowed!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY41,,That was a great attempt by %s (%s). The keeper did well to keep that out.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY42,,"Oh, a fantastic attempt by %s (%s)! The keeper made a great save to keep that out.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY43,,A great effort by %s (%s) that forced an equally impressive save from the keeper.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY44,,Good attempt by %s (%s) but the keeper had it covered.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY45,,Fantastic effort by %s (%s). The keeper made an excellent save though.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY46,,That was a great attempt by %s (%s). The keeper did well to keep that out.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY47,,"%s goes off injured, %s bring %s on to replace him.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY48,,"%s goes off injured, %s are down to %d men.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY49,,%s (%s) is going to have to come off. He's really struggling.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY5,,%s (%s) has been booked for dangerous play. There didn't look to be too much wrong with that though.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY50,,%s (%s) looks quite badly injured. He's going to have to come off.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY51,,%s (%s) is injured. He's going to have to be replaced.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY52,,%s has picked up an injury. %s are going to have to make a change.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY53,,%s isn't going to be able to continue. %s are going to have to make a substitution.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY54,,%s (%s) is going to have to come off. He looks in real pain.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY55,,%s (%s) looks like he's picked up an injury. He's trying to continue though.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY56,,%s (%s) has taken a knock. He's trying to run it off though.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY57,,%s (%s) has picked up a bit off an injury. It looks like he's going to play on though.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY58,,%s (%s) took a bit of a knock in that last challenge.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY59,,%s (%s) looks like he's picked up an bit of an injury in that last challenge.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY6,,%s's (%s) name has gone in the book for a reckless challenge.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY60,,%s (%s) looks like he's picked up an injury. He's trying to continue though.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY61,,%s are making a change. %s is coming on for %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY62,,%s are making a substitution. %s is coming on for %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY63,,%s are bringing on a substitute. %s is coming on for %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY64,,It looks like %s are making a change. %s is replacing %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY65,,%s are making a substitution. %s is replacing %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY66,,%s are making a change. %s is coming on for %s.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY67,,"%s are making a change, %s is coming on, and %s is taking an early bath.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY68,,%s (%s) has been booked for persistent fouling.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY69,,%s (%s) has been shown the yellow card for dissent.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY7,,%s (%s) has been booked for a nasty tackle that he really didn't need to make.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY70,,Red card for %s (%s). The ref's sent him off for a second bookable offence.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY71,,Red card for %s (%s). He is off for an early bath after his second yellow card of the game.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY72,,"GOAL to %s, %s was unlucky to deflect that effort into his own goal!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY73,,GOAL to %s. %s finishes off what was a superb move.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY74,,GOAL to %s. %s takes the plaudits after what looked like a deflection off a defender.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY75,,GOAL! %s's %s rounds the keeper to slot it home.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY76,,GOAL to %s. %s had the easy task of tapping that home after a great cut back.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY77,,GOAL! %s's %s rifles the ball home after a great turn.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY78,,GOAL! A sublime finish as %s's %s lobs the keeper from outside the box.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY79,,GOAL to %s. %s finds the top corner with a well placed effort.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY8,,%s (%s) has been booked! The referee is signalling that he used dangerous play.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY80,,GOAL to %s. %s thundered that home from a long way out.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY81,,GOAL to %s. %s smashes the ball into the roof of the net from close range.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY82,,GOAL to %s. %s rose well to header the ball back across goal into the far corner.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY83,,GOAL to %s. %s flicks a near post header past the diving keeper.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY84,,GOAL to %s. %s sees his miss hit effort squirm past the despairing keeper.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY85,,GOAL to %s. %s scored a well worked free-kick straight from the training ground.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY86,,"GOAL to %s (%s), but it's been chalked off for offside!",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY87,,"GOAL to %s (%s), but the linesman's flag is up. The goal won't count.",,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY88,,Great reactions by the keeper to get a hand to the shot by %s (%s).,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY89,,That was a great block by the keeper as %s (%s) looked certain to score.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY9,,%s (%s) has been booked for a late challenge.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY90,,Good goalkeeping as the keeper dives at the feet of %s (%s).,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY91,,%s (%s) almost scored as the keeper collects it at the second attempt.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY92,,%s (%s) can't believe it as his shot is cleared off the line.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY93,,%s (%s) clips the ball past the keeper but it's blocked on the line.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY94,,The defender was in the right place at the right time as a %s (%s) shot almost finds the net.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY95,,The strike from %s (%s) was cleared with the keeper stranded in no man's land.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY96,,The keeper was beat all ends up as the shot from %s (%s) thundered off the crossbar to safety.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY97,,The keeper watches in relief as the shot from %s (%s) comes back off the post.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY98,,%s (%s) holds his head as the woodwork denies him a fine goal.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARY99,,%s (%s) sees his effort strike the inside of the post and back into play.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYKICKOFF,,%s take the kick off.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET1,,Good attempt by %s (%s) that was very nearly on target.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET10,,%s (%s)'s shot had the keeper worried as it shaves the outside of the post.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET11,,%s (%s) pulls his shot agonisingly wide of the far post.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET2,,Fantastic attempt by %s (%s) that could so easily have been a goal.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET3,,%s (%s) will be gutted he didn't hit the target there.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET4,,%s (%s) will be very upset he didn't manage to score a goal with that brave attempt.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET5,,%s (%s) will be unhappy that he didn't force the keeper to make a save there.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET6,,Good attempt by %s (%s) that was very nearly right on target.,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET7,,%s (%s) really should have hit the target there!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET8,,%s (%s) sends a wild effort high into the stand!,,,,,,,,,,,,,,,,,,,,,,,
COMMENTARYOFFTARGET9,,%s (%s) screws his shot wide when he looked a certainty to score.,,,,,,,,,,,,,,,,,,,,,,,
CORNERTO,,%s have won a corner.,,,,,,,,,,,,,,,,,,,,,,,
CORNERTO2,,"The ball is out of play, a corner is given to %s.",,,,,,,,,,,,,,,,,,,,,,,
CORNERTO3,,Corner to %s.,,,,,,,,,,,,,,,,,,,,,,,
CORNERTO4,,%s win a corner.,,,,,,,,,,,,,,,,,,,,,,,
CORNERTO5,,%s have won a corner.,,,,,,,,,,,,,,,,,,,,,,,
CORNERTO6,,"The ball goes out of play, it's a corner to %s.",,,,,,,,,,,,,,,,,,,,,,,
DISCEVENTTIME,,%s %d,,,,,,,,,,,,,,,,,,,,,,,
FREEKICKTO,,Free kick to %s.,,,,,,,,,,,,,,,,,,,,,,,
HALFTIMEANDATTENDANCE,,Half Time : %d-%d    Attend : %s,,,,,,,,,,,,,,,,,,,,,,,
INJUREDINMATCHOFF,,%s (%s) is injured and is unable to continue.,,,,,,,,,,,,,,,,,,,,,,,
INJURYTIME,,The 4th Official indicates %d minutes of injury time to be played,,,,,,,,,,,,,,,,,,,,,,,
OG,Abbreviation of 'Own goal',(OG),,,,,,,,,,,,,,,,,,,,,,,
PEN,Abbreviation of 'Penalty',(Pen),,,,,,,,,,,,,,,,,,,,,,,
PENALTYWINNER,,%s won %d - %d after a penalty shootout.,,,,,,,,,,,,,,,,,,,,,,,
PLAYCOMINGON,,"(%d), %s for %s.",,,,,,,,,,,,,,,,,,,,,,,
PLAYEROFFSIDE,,%s is caught offside.,,,,,,,,,,,,,,,,,,,,,,,
PLAYEROFFSIDE2,,%s strays offside.,,,,,,,,,,,,,,,,,,,,,,,
PLAYEROFFSIDE3,,%s is offside.,,,,,,,,,,,,,,,,,,,,,,,
PLAYEROFFSIDE4,,"Offside, %s made his run too early.",,,,,,,,,,,,,,,,,,,,,,,
PLAYEROFFSIDE5,,%s is a mile offside.,,,,,,,,,,,,,,,,,,,,,,,
PLAYEROFFSIDE6,,%s fails to beat the offside trap.,,,,,,,,,,,,,,,,,,,,,,,
SUBSLEFT,,%d Substitutions Left,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Screen Names,,,,,,,,,,,,,,,,,,,,,,,,
SCREEN18,These names are used as headings for each screen,Club Fixtures,,,,,,,,,,,,,,,,,,,,,,,
SCREEN19,they should be limited in length as much as possible,League Fixtures,,,,,,,,,,,,,,,,,,,,,,,
SCREEN20,,Cup Fixtures,,,,,,,,,,,,,,,,,,,,,,,
SCREEN22,,Bank,,,,,,,,,,,,,,,,,,,,,,,
SCREEN21,,Transfer Request,,,,,,,,,,,,,,,,,,,,,,,
SCREEN23,,Player Contract,,,,,,,,,,,,,,,,,,,,,,,
SCREEN24,,Player Loan Offer,,,,,,,,,,,,,,,,,,,,,,,
SCREEN26,,Accounts,,,,,,,,,,,,,,,,,,,,,,,
SCREEN2701,,Match Tactics,,,,,,,,,,,,,,,,,,,,,,,
SCREEN2702,,Match Roles,,,,,,,,,,,,,,,,,,,,,,,
SCREEN2703,,Match Formation,,,,,,,,,,,,,,,,,,,,,,,
SCREEN28,,Processing,,,,,,,,,,,,,,,,,,,,,,,
SCREEN30,,Player Offer,,,,,,,,,,,,,,,,,,,,,,,
SCREEN32,,Match Intro,,,,,,,,,,,,,,,,,,,,,,,
SCREEN3301,,Goalscorers,,,,,,,,,,,,,,,,,,,,,,,
SCREEN3302,,Disciplinary,,,,,,,,,,,,,,,,,,,,,,,
SCREEN35,,Sack Player,,,,,,,,,,,,,,,,,,,,,,,
SCREEN36,,Training,,,,,,,,,,,,,,,,,,,,,,,
SCREEN39,,Job Centre,,,,,,,,,,,,,,,,,,,,,,,
SCREEN41,,Youth Squad,,,,,,,,,,,,,,,,,,,,,,,
SCREEN42,,Credits,,,,,,,,,,,,,,,,,,,,,,,
SCREEN46,,Monthly Awards,,,,,,,,,,,,,,,,,,,,,,,
SCREEN31,,Match Stats,,,,,,,,,,,,,,,,,,,,,,,
SCREEN48,,Transfer List,,,,,,,,,,,,,,,,,,,,,,,
SCREEN50,,League Tables,,,,,,,,,,,,,,,,,,,,,,,
SCREEN5001,,Home,,,,,,,,,,,,,,,,,,,,,,,
SCREEN5002,,Away,,,,,,,,,,,,,,,,,,,,,,,
SCREEN5003,,Current Form,,,,,,,,,,,,,,,,,,,,,,,
SCREEN5004,,Discipline,,,,,,,,,,,,,,,,,,,,,,,
SCREEN54,,Arrange Friendly,,,,,,,,,,,,,,,,,,,,,,,
SCREEN59,,Youth Info,,,,,,,,,,,,,,,,,,,,,,,
SCREEN60,,Employee Info,,,,,,,,,,,,,,,,,,,,,,,
SCREEN61,,Player Info,,,,,,,,,,,,,,,,,,,,,,,
SCREEN62,,Manager Info,,,,,,,,,,,,,,,,,,,,,,,
SCREEN63,,Contract Negotiations,,,,,,,,,,,,,,,,,,,,,,,
SCREEN65,,Match Day,,,,,,,,,,,,,,,,,,,,,,,
SCREEN90,,Load / Save,,,,,,,,,,,,,,,,,,,,,,,
SCREEN91,,Game Options,,,,,,,,,,,,,,,,,,,,,,,
SCREEN97,,Registration,,,,,,,,,,,,,,,,,,,,,,,
SCREEN47,,Manager Contract,,,,,,,,,,,,,,,,,,,,,,,
SCREEN17,,Match Report,,,,,,,,,,,,,,,,,,,,,,,
SCREEN09PLAYER,,Players,,,,,,,,,,,,,,,,,,,,,,,
SCREEN09MATCH,,Matches,,,,,,,,,,,,,,,,,,,,,,,
SCREEN09COMP,,Competitions,,,,,,,,,,,,,,,,,,,,,,,
SCREEN09TROPHY,,Trophies,,,,,,,,,,,,,,,,,,,,,,,
SCREEN33GOALSCORERS,,Goalscorers,,,,,,,,,,,,,,,,,,,,,,,
SCREEN33DISCIPLINARY,,Disciplinary,,,,,,,,,,,,,,,,,,,,,,,
SCREEN09INFO,,Info,,,,,,,,,,,,,,,,,,,,,,,
SCREEN04,,Club Selection,,,,,,,,,,,,,,,,,,,,,,,
SCREEN98,,Manager Details,,,,,,,,,,,,,,,,,,,,,,,
SCREEN03,,Status,,,,,,,,,,,,,,,,,,,,,,,
SCREEN05,,Squad,,,,,,,,,,,,,,,,,,,,,,,
SCREEN06,,Player Search,,,,,,,,,,,,,,,,,,,,,,,
SCREEN08,,Contracts,,,,,,,,,,,,,,,,,,,,,,,
SCREEN09,,Club Records,,,,,,,,,,,,,,,,,,,,,,,
SCREEN02,,Cup Schedules,,,,,,,,,,,,,,,,,,,,,,,
SCREEN11,,Messages,,,,,,,,,,,,,,,,,,,,,,,
SCREEN12,,Player Bid,,,,,,,,,,,,,,,,,,,,,,,
SCREEN13,,Youth Contract,,,,,,,,,,,,,,,,,,,,,,,
SCREEN14,,Employee Contract,,,,,,,,,,,,,,,,,,,,,,,
SCREEN16,,Transfer Status,,,,,,,,,,,,,,,,,,,,,,,
SCREEN27FORMATIONS,,Formation,,,,,,,,,,,,,,,,,,,,,,,
SCREEN27SPECIALPLAYE,,Roles,,,,,,,,,,,,,,,,,,,,,,,
SCREEN27TACTICS,,Tactics,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,User messages start / end season,,,,,,,,,,,,,,,,,,,,,,,,
USERCHAMPIONS,,"%s, congratulations, you've done it and finished top of the %s. The board congratulate you on what has been a fantastic season for the club.",,,,,,,,,,,,,,,,,,,,,,,
USERWONDIVISON,,"%s, congratulations, you've won the %s and promotion for the club. The board and fans are overjoyed at being promoted and the way the team has played!",,,,,,,,,,,,,,,,,,,,,,,
USERWONCUP,,"%s, congratulations, you've won the %s. The board of directors and the fans are overjoyed. It has been a fantastic performance by yourself and the players. The fans will be celebrating this victory for some time to come.",,,,,,,,,,,,,,,,,,,,,,,
USERWONSHIELD,,"%s, congratulations, you've won the %s, The board congratulate you on the team's victory.",,,,,,,,,,,,,,,,,,,,,,,
USERWONPLAYOFFPROMOTION,,"%s, congratulations, you've won the play offs and promotion for the club. The board and supporters are overjoyed and are already looking forward to next season.",,,,,,,,,,,,,,,,,,,,,,,
USERFINISHEDBOTTOMOFDIVISION,,"%s, the board and fans are distraught at the club finishing at the bottom of the league. However the board are still confident that you're the manager who can lift the club to mid table next season.",,,,,,,,,,,,,,,,,,,,,,,
USERAVOIDEDRELEGATION,,"%s, well done, you've avoided relegation. Although the board are relieved to have avoided relegation they inform you that things must improve next season and that a similar performance will not be tolerated.",,,,,,,,,,,,,,,,,,,,,,,
USERRELEGATED,,"%s, the board and fans are distraught at the club being relegated. However the board are still confident that you're the manager who can take the club straight back up next season.",,,,,,,,,,,,,,,,,,,,,,,
USERPROMOTED,,"%s, congratulations, thanks to your great leadership the club have been promoted. The board and supporters are overjoyed and are already looking forward to next season.",,,,,,,,,,,,,,,,,,,,,,,
ARRANGEFRIENDLY,,"%s, the new season is approaching. Now is the time to arrange your pre-season friendly matches to help get your squad fully match fit.",,,,,,,,,,,,,,,,,,,,,,,
CLOSESEASON,,"%s, the domestic season has finished. If you press 'Skip to next match' you will go straight to next season and will not be able to view end of season data or take any actions at the club in the close season.",,,,,,,,,,,,,,,,,,,,,,,
NOTENOUGHFIT,,You do not have enough fit players in your 1st team. You must promote youths or get loan players.,,,,,,,,,,,,,,,,,,,,,,,
DEDUCTEDSELLONMONEY,,%s have received %s from the sale of %s as they had a %d%% sell on clause agreement.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYERRECORD,,%s have signed %s for a club record fee of %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
LEFTONBOSMAN,,%s has joined %s from %s under the Bosman ruling.,,,,,,,,,,,,,,,,,,,,,,,
STARSIGNMSG1,,"%s, the fans are delighted that you have signed %s and look forward to seeing the club move forward.",,,,,,,,,,,,,,,,,,,,,,,
STARSIGNMSG2,,"%s, the fans are delighted that you have signed %s.",,,,,,,,,,,,,,,,,,,,,,,
STARSALEMSG1,,"%s, the fans are disappointed at your decision to sell %s.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Injury / Surgery messages,,,,,,,,,,,,,,,,,,,,,,,,
INJUREDLONG,,is unavailable because of a %s. He is expected to resume training in %d weeks.,,,,,,,,,,,,,,,,,,,,,,,
INJUREDLONGPLURAL,,is unavailable because of %s. He is expected to recommence training in %d weeks.,,,,,,,,,,,,,,,,,,,,,,,
INJUREDSHORT,,is unavailable because of a %s. He is expected to resume training in 1 week.,,,,,,,,,,,,,,,,,,,,,,,
INJUREDSHORTPLURAL,,is unavailable because of %s. He is expected to be available for training in 1 week.,,,,,,,,,,,,,,,,,,,,,,,
INJURYBADRECOVERED,,%s is fit again and has resumed training.,,,,,,,,,,,,,,,,,,,,,,,
INJURYGOODRECOVERED,,%s has made a good recovery from injury and has resumed training.,,,,,,,,,,,,,,,,,,,,,,,
INJURYRECOVERED,,%s is now free from injury and  has returned to training.,,,,,,,,,,,,,,,,,,,,,,,
INJURYVERYBADRECOVERED,,%s has recovered from injury and has resumed training.,,,,,,,,,,,,,,,,,,,,,,,
INJURYVERYGOODRECOVERED,,%s has made an excellent recovery from injury and has resumed training.,,,,,,,,,,,,,,,,,,,,,,,
SURGERYCOMPLICATIONS,,There were complications during the surgery on %s.,,,,,,,,,,,,,,,,,,,,,,,
SURGERYGOOD,,The surgery on %s was very successful.,,,,,,,,,,,,,,,,,,,,,,,
SURGERYOK,,The surgery on %s was successful.,,,,,,,,,,,,,,,,,,,,,,,
SURGERYSLIGHTCOMPLICATIONS,,There were slight complications during the surgery on %s.,,,,,,,,,,,,,,,,,,,,,,,
TIMEINJUREDLONG,,Unavailable for %d weeks.,,,,,,,,,,,,,,,,,,,,,,,
TIMEINJUREDSHORT,,Unavailable for 1 week.,,,,,,,,,,,,,,,,,,,,,,,
TRAININGBEENINJUREDLONG,,%s has been injured and will be out for approx %d week(s) with a %s.,,,,,,,,,,,,,,,,,,,,,,,
TRAININGBEENINJUREDLONGPLURAL,,%s has been injured and will be out for approx %d week(s) with %s.,,,,,,,,,,,,,,,,,,,,,,,
TRAININGBEENINJUREDSHORT,,%s was injured and will be out for approx %d week(s) with a %s.,,,,,,,,,,,,,,,,,,,,,,,
TRAININGBEENINJUREDSHORTPLURAL,,%s has been injured and will be out for approx %d week(s) with %s.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
